Acquired on 3/23/2026 at 20:46:34
Calibrated on 2/21/2023 at 03:14:48
Device Descriptor:  [none]
Scan Range (nm):  1545.445  --  1588.034
Measurement Type:  Reflection
Group Index:  1.500
Gain:  24 dB
Domain:  Time
Spatial Resolution (mm):  0.100209
Frequency domain window was not applied to measurement data.
Gage length:  1.000766 cm
Sensor spacing:  0.099884 cm
Number of Data Points (in this file):  41648
NOTE: Data stored in this file is not decimated.

Length (m)	Length (m)	Amplitude (dB/mm)	Spectral Shift (GHz)	Spectral Shift Quality	
2.59206176E+000	2.59706569E+000	-1.10966522E+002	-3.61233902E+001	1.94698557E-001	
2.59208107E+000	2.59806442E+000	-1.09363342E+002	-3.64917755E+001	2.00369820E-001	
2.59210014E+000	2.59906340E+000	-1.08686462E+002	-3.68310127E+001	2.60283262E-001	
2.59211946E+000	2.60006213E+000	-1.05792000E+002	-3.65506935E+001	2.33701408E-001	
2.59213853E+000	2.60106111E+000	-1.05471985E+002	-3.43317032E+001	2.10824221E-001	
2.59215784E+000	2.60205984E+000	-1.04679749E+002	-3.43422470E+001	2.19429761E-001	
2.59217715E+000	2.60305882E+000	-1.05376282E+002	-3.79212799E+001	2.10397676E-001	
2.59219623E+000	2.60405755E+000	-1.05812698E+002	-4.00720520E+001	2.19052404E-001	
2.59221554E+000	2.60505652E+000	-1.08333328E+002	-4.17601700E+001	2.35114172E-001	
2.59223461E+000	2.60605526E+000	-1.09546822E+002	-4.22529030E+001	2.37031281E-001	
2.59225392E+000	2.60705423E+000	-1.11642487E+002	-4.16556702E+001	2.52041340E-001	
2.59227300E+000	2.60805297E+000	-1.09464943E+002	-4.07536240E+001	2.73707688E-001	
2.59229231E+000	2.60905194E+000	-1.09555733E+002	-4.01222878E+001	2.85648882E-001	
2.59231162E+000	2.61005068E+000	-1.08230171E+002	-3.99498749E+001	2.37156674E-001	
2.59233069E+000	2.61104941E+000	-1.08204887E+002	-3.87073555E+001	2.22765669E-001	
2.59235001E+000	2.61204839E+000	-1.08381317E+002	-3.96568413E+001	2.16469079E-001	
2.59236908E+000	2.61304712E+000	-1.09780968E+002	-3.99210358E+001	2.18241066E-001	
2.59238839E+000	2.61404610E+000	-1.06194611E+002	-4.02249222E+001	2.45876595E-001	
2.59240746E+000	2.61504483E+000	-1.07266533E+002	-4.06956406E+001	2.68405706E-001	
2.59242678E+000	2.61604381E+000	-1.05364830E+002	-4.14277573E+001	2.77618200E-001	
2.59244585E+000	2.61704254E+000	-1.04527542E+002	-4.07892876E+001	2.39506230E-001	
2.59246516E+000	2.61804152E+000	-1.04496620E+002	-4.12708511E+001	2.10328221E-001	
2.59248447E+000	2.61904025E+000	-1.06407288E+002	-4.02063217E+001	2.22777843E-001	
2.59250355E+000	2.62003922E+000	-1.05872917E+002	-3.79916725E+001	2.30218381E-001	
2.59252286E+000	2.62103796E+000	-1.07074768E+002	-3.87885971E+001	2.19096154E-001	
2.59254193E+000	2.62203670E+000	-1.08226456E+002	-3.95951347E+001	2.06830680E-001	
2.59256124E+000	2.62303567E+000	-1.08524185E+002	-4.05139275E+001	2.27788225E-001	
2.59258032E+000	2.62403440E+000	-1.05852165E+002	-4.14534912E+001	2.14697778E-001	
2.59259963E+000	2.62503338E+000	-1.06145020E+002	-4.06267967E+001	2.33458742E-001	
2.59261894E+000	2.62603211E+000	-1.05930222E+002	-2.96596050E+001	2.04175591E-001	
2.59263802E+000	2.62703109E+000	-1.06174194E+002	-4.03281860E+001	2.06550390E-001	
2.59265733E+000	2.62802982E+000	-1.05689804E+002	-3.77218933E+001	2.19797477E-001	
2.59267640E+000	2.62902880E+000	-1.08499863E+002	-3.62325439E+001	2.12343261E-001	
2.59269571E+000	2.63002753E+000	-1.08159554E+002	-2.97960453E+001	2.43003115E-001	
2.59271479E+000	2.63102651E+000	-1.07952026E+002	-2.99482975E+001	2.03241616E-001	
2.59273410E+000	2.63202524E+000	-1.07817535E+002	-2.96549530E+001	2.27512598E-001	
2.59275341E+000	2.63302422E+000	-1.08456718E+002	-2.87975616E+001	2.32276678E-001	
2.59277248E+000	2.63402295E+000	-1.08562027E+002	-2.84149132E+001	2.43031114E-001	
2.59279180E+000	2.63502169E+000	-1.08546753E+002	-2.85367775E+001	2.24888667E-001	
2.59281087E+000	2.63602066E+000	-1.10674988E+002	-2.96354198E+001	2.10643753E-001	
2.59283018E+000	2.63701940E+000	-1.11662971E+002	-3.09923649E+001	2.01304704E-001	
2.59284925E+000	2.63801837E+000	-1.09066269E+002	-3.73237419E+001	1.70347229E-001	
2.59286857E+000	2.63901711E+000	-1.08189774E+002	-3.86884384E+001	1.79658100E-001	
2.59288788E+000	2.64001608E+000	-1.08240974E+002	-3.92714043E+001	2.18486339E-001	
2.59290695E+000	2.64101481E+000	-1.08296440E+002	-4.08683548E+001	2.50492096E-001	
2.59292626E+000	2.64201379E+000	-1.07479065E+002	-4.08271141E+001	2.16576397E-001	
2.59294534E+000	2.64301252E+000	-1.08063820E+002	-4.29574203E+001	2.09928796E-001	
2.59296465E+000	2.64401150E+000	-1.08524490E+002	-4.86019516E+001	2.45415241E-001	
2.59298372E+000	2.64501023E+000	-1.07518166E+002	-5.00404510E+001	3.22402120E-001	
2.59300303E+000	2.64600897E+000	-1.06564606E+002	-5.00258751E+001	3.45715165E-001	
2.59302211E+000	2.64700794E+000	-1.07107231E+002	-4.96435394E+001	3.14804584E-001	
2.59304142E+000	2.64800668E+000	-1.06594955E+002	-3.09436817E+001	2.14457259E-001	
2.59306073E+000	2.64900565E+000	-1.05803871E+002	-5.10156784E+001	2.59712517E-001	
2.59307981E+000	2.65000439E+000	-1.06851028E+002	-4.07328491E+001	2.09425062E-001	
2.59309912E+000	2.65100336E+000	-1.07735199E+002	-3.40290565E+001	2.06327260E-001	
2.59311819E+000	2.65200210E+000	-1.07298592E+002	-2.14782448E+001	1.85231596E-001	
2.59313750E+000	2.65300107E+000	-1.07527382E+002	-7.75840139E+000	1.68106779E-001	
2.59315658E+000	2.65399981E+000	-1.08891159E+002	-1.87327271E+001	2.11253345E-001	
2.59317589E+000	2.65499878E+000	-1.08006958E+002	-1.36789112E+001	3.04866642E-001	
2.59319520E+000	2.65599751E+000	-1.06246048E+002	-1.25225935E+001	4.46535259E-001	
2.59321427E+000	2.65699649E+000	-1.06622757E+002	-1.27607412E+001	5.15482008E-001	
2.59323359E+000	2.65799522E+000	-1.06510056E+002	-1.26094179E+001	5.18775403E-001	
2.59325266E+000	2.65899396E+000	-1.06438919E+002	-1.30494337E+001	5.50654471E-001	
2.59327197E+000	2.65999293E+000	-1.07350151E+002	-1.32655640E+001	4.88991648E-001	
2.59329104E+000	2.66099167E+000	-1.08611565E+002	-1.32050962E+001	5.01629591E-001	
2.59331036E+000	2.66199064E+000	-1.07356102E+002	-1.28081837E+001	5.16500950E-001	
2.59332967E+000	2.66298938E+000	-1.09112350E+002	-1.30708294E+001	5.06989777E-001	
2.59334874E+000	2.66398835E+000	-1.08126823E+002	-1.28674116E+001	4.91198450E-001	
2.59336805E+000	2.66498709E+000	-1.05757248E+002	-1.30640068E+001	4.70508188E-001	
2.59338713E+000	2.66598606E+000	-1.05371391E+002	-1.29340811E+001	4.83563572E-001	
2.59340644E+000	2.66698480E+000	-1.05981323E+002	-1.29731512E+001	4.96149153E-001	
