Acquired on 3/23/2026 at 20:46:34
Calibrated on 2/21/2023 at 03:14:48
Device Descriptor:  [none]
Scan Range (nm):  1545.445  --  1588.034
Measurement Type:  Reflection
Group Index:  1.500
Gain:  24 dB
Domain:  Time
Spatial Resolution (mm):  0.100209
Frequency domain window was not applied to measurement data.
Gage length:  1.000766 cm
Sensor spacing:  0.099884 cm
Number of Data Points (in this file):  41648
NOTE: Data stored in this file is not decimated.

Length (m)	Length (m)	Amplitude (dB/mm)	Spectral Shift (GHz)	Spectral Shift Quality	
2.59342551E+000	2.66798377E+000	-1.05988068E+002	-1.28903580E+001	5.02368689E-001	
2.59344482E+000	2.66898251E+000	-1.05837357E+002	-1.27334538E+001	5.37451863E-001	
2.59346390E+000	2.66998124E+000	-1.08196938E+002	-1.27105064E+001	5.42897522E-001	
2.59348321E+000	2.67098022E+000	-1.09706184E+002	-1.29117546E+001	5.83987594E-001	
2.59350252E+000	2.67197895E+000	-1.09442627E+002	-1.28391924E+001	5.60230672E-001	
2.59352160E+000	2.67297792E+000	-1.08958572E+002	-1.29303598E+001	5.53345799E-001	
2.59354091E+000	2.67397666E+000	-1.11248062E+002	-1.28314409E+001	5.00664651E-001	
2.59355998E+000	2.67497563E+000	-1.10725037E+002	-1.30336189E+001	5.21351278E-001	
2.59357929E+000	2.67597437E+000	-1.09489380E+002	-1.35254183E+001	5.51462948E-001	
2.59359837E+000	2.67697334E+000	-1.10025955E+002	-1.28615189E+001	5.38943052E-001	
2.59361768E+000	2.67797208E+000	-1.05884125E+002	-1.28630705E+001	5.50738275E-001	
2.59363699E+000	2.67897105E+000	-1.05220642E+002	-1.29272575E+001	5.08757353E-001	
2.59365606E+000	2.67996979E+000	-1.04968346E+002	-1.27691145E+001	5.22867560E-001	
2.59367537E+000	2.68096876E+000	-1.05393333E+002	-1.27734537E+001	5.19268811E-001	
2.59369445E+000	2.68196750E+000	-1.05003044E+002	-1.28100452E+001	5.23667395E-001	
2.59371376E+000	2.68296623E+000	-1.08295059E+002	-1.29985790E+001	5.31606734E-001	
2.59373283E+000	2.68396521E+000	-1.09695419E+002	-1.30742407E+001	5.03686726E-001	
2.59375215E+000	2.68496394E+000	-1.09686279E+002	-1.27551594E+001	5.17724812E-001	
2.59377146E+000	2.68596292E+000	-1.08412964E+002	-1.30751705E+001	5.31951189E-001	
2.59379053E+000	2.68696165E+000	-1.07713425E+002	-1.30060215E+001	5.36405683E-001	
2.59380984E+000	2.68796062E+000	-1.06756203E+002	-1.29067926E+001	5.67206204E-001	
2.59382892E+000	2.68895936E+000	-1.06524055E+002	-1.29939270E+001	5.61860383E-001	
2.59384823E+000	2.68995833E+000	-1.07071274E+002	-1.29495840E+001	5.91535866E-001	
2.59386730E+000	2.69095707E+000	-1.07251297E+002	-1.29802837E+001	5.19606590E-001	
2.59388661E+000	2.69195604E+000	-1.06463608E+002	-1.29923773E+001	5.22798598E-001	
2.59390593E+000	2.69295478E+000	-1.07481186E+002	-1.28940792E+001	5.02822936E-001	
2.59392500E+000	2.69395375E+000	-1.07712006E+002	-1.28971796E+001	5.00329316E-001	
2.59394431E+000	2.69495249E+000	-1.06136032E+002	-1.30007496E+001	5.53541839E-001	
2.59396338E+000	2.69595122E+000	-1.07183693E+002	-1.30289669E+001	5.29557347E-001	
2.59398270E+000	2.69695020E+000	-1.08397446E+002	-1.35034027E+001	5.55243194E-001	
2.59400177E+000	2.69794893E+000	-1.08039200E+002	-1.30193548E+001	4.99267429E-001	
2.59402108E+000	2.69894791E+000	-1.08016678E+002	-1.29719105E+001	5.19660354E-001	
2.59404016E+000	2.69994664E+000	-1.10505493E+002	-1.29198160E+001	5.09789228E-001	
2.59405947E+000	2.70094562E+000	-1.09969879E+002	-1.28853960E+001	5.54863513E-001	
2.59407878E+000	2.70194435E+000	-1.07868355E+002	-1.30475721E+001	5.34462273E-001	
2.59409785E+000	2.70294333E+000	-1.07945450E+002	-1.36215458E+001	5.27320027E-001	
2.59411716E+000	2.70394206E+000	-1.07942871E+002	-1.28500462E+001	5.36832273E-001	
2.59413624E+000	2.70494103E+000	-1.07872314E+002	-1.28754740E+001	5.35009444E-001	
2.59415555E+000	2.70593977E+000	-1.06383133E+002	-1.27182598E+001	5.23714721E-001	
2.59417462E+000	2.70693851E+000	-1.08943184E+002	-1.31666460E+001	5.04934788E-001	
2.59419394E+000	2.70793748E+000	-1.08951347E+002	-1.31356373E+001	5.56744397E-001	
2.59421325E+000	2.70893621E+000	-1.09074890E+002	-1.27734537E+001	4.90664303E-001	
2.59423232E+000	2.70993519E+000	-1.09236382E+002	-1.26351557E+001	5.32190323E-001	
2.59425163E+000	2.71093392E+000	-1.12917648E+002	-1.26118984E+001	4.93656754E-001	
2.59427071E+000	2.71193290E+000	-1.11833382E+002	-1.25380983E+001	5.22353828E-001	
2.59429002E+000	2.71293163E+000	-1.10701027E+002	-1.28596601E+001	5.19705653E-001	
2.59430909E+000	2.71393061E+000	-1.08279152E+002	-1.29548559E+001	5.22661865E-001	
2.59432840E+000	2.71492934E+000	-1.07342979E+002	-1.29982681E+001	5.30838549E-001	
2.59434772E+000	2.71592832E+000	-1.06702820E+002	-1.26925220E+001	5.31203747E-001	
2.59436679E+000	2.71692705E+000	-1.07057938E+002	-1.26872511E+001	5.38351774E-001	
2.59438610E+000	2.71792603E+000	-1.07205246E+002	-1.29378023E+001	5.53628147E-001	
2.59440517E+000	2.71892476E+000	-1.08220734E+002	-1.30596657E+001	5.71247220E-001	
2.59442449E+000	2.71992350E+000	-1.07975357E+002	-1.29616785E+001	5.50430954E-001	
2.59444356E+000	2.72092247E+000	-1.06491890E+002	-1.31229239E+001	5.16872883E-001	
2.59446287E+000	2.72192121E+000	-1.05793228E+002	-1.29012108E+001	4.83820677E-001	
2.59448218E+000	2.72292018E+000	-1.05709373E+002	-1.29331503E+001	4.78680104E-001	
2.59450126E+000	2.72391891E+000	-1.05227821E+002	-1.29005909E+001	4.82039571E-001	
2.59452057E+000	2.72491789E+000	-1.05887451E+002	-1.37124004E+001	5.07386029E-001	
2.59453964E+000	2.72591662E+000	-1.07656975E+002	-1.37520914E+001	5.22395015E-001	
2.59455895E+000	2.72691560E+000	-1.07251236E+002	-1.37241850E+001	5.34140408E-001	
2.59457803E+000	2.72791433E+000	-1.07388763E+002	-1.29291191E+001	4.69223201E-001	
2.59459734E+000	2.72891331E+000	-1.08364731E+002	-1.28888073E+001	5.06843388E-001	
2.59461641E+000	2.72991204E+000	-1.07703362E+002	-1.33015347E+001	5.30522585E-001	
2.59463573E+000	2.73091078E+000	-1.08080971E+002	-1.36116228E+001	5.33563793E-001	
2.59465504E+000	2.73190975E+000	-1.09069290E+002	-1.31939335E+001	4.85545039E-001	
2.59467411E+000	2.73290849E+000	-1.09628235E+002	-1.30357895E+001	4.93601501E-001	
2.59469342E+000	2.73390746E+000	-1.08680801E+002	-1.29964075E+001	5.13474286E-001	
2.59471250E+000	2.73490620E+000	-1.09642166E+002	-1.28850861E+001	5.13937712E-001	
2.59473181E+000	2.73590517E+000	-1.09504326E+002	-1.26069374E+001	5.15469074E-001	
2.59475088E+000	2.73690391E+000	-1.09017754E+002	-1.27647715E+001	5.53512037E-001	
2.59477019E+000	2.73790288E+000	-1.07912178E+002	-1.25830612E+001	5.54065347E-001	
2.59478951E+000	2.73890162E+000	-1.07876045E+002	-1.28838453E+001	5.55262983E-001	
2.59480858E+000	2.73990059E+000	-1.07731308E+002	-1.29734612E+001	5.12290299E-001	
2.59482789E+000	2.74089932E+000	-1.07560036E+002	-1.29861755E+001	5.20907342E-001	
2.59484696E+000	2.74189830E+000	-1.08045387E+002	-1.28395033E+001	5.89950860E-001	
2.59486628E+000	2.74289703E+000	-1.07371689E+002	-1.29607468E+001	6.05653644E-001	
2.59488535E+000	2.74389577E+000	-1.06226768E+002	-1.27188787E+001	5.71057558E-001	
2.59490466E+000	2.74489474E+000	-1.06332710E+002	-1.26556206E+001	5.92538834E-001	
2.59492397E+000	2.74589348E+000	-1.06287727E+002	-1.27638416E+001	5.61609030E-001	
2.59494305E+000	2.74689245E+000	-1.04978485E+002	-1.28900471E+001	5.30256391E-001	
2.59496236E+000	2.74789119E+000	-1.05980064E+002	-1.30615263E+001	5.23250699E-001	
2.59498143E+000	2.74889016E+000	-1.07822617E+002	-1.29867945E+001	5.21932006E-001	
2.59500074E+000	2.74988890E+000	-1.08032242E+002	-1.31517611E+001	5.36489069E-001	
2.59501982E+000	2.75088787E+000	-1.07891388E+002	-1.30897436E+001	5.65527558E-001	
2.59503913E+000	2.75188661E+000	-1.11141769E+002	-1.32816887E+001	5.04599571E-001	
2.59505844E+000	2.75288558E+000	-1.10514641E+002	-1.30540848E+001	5.40409803E-001	
2.59507751E+000	2.75388432E+000	-1.11048019E+002	-1.31768789E+001	5.60059309E-001	
2.59509683E+000	2.75488305E+000	-1.07612373E+002	-1.30562544E+001	6.02394998E-001	
2.59511590E+000	2.75588202E+000	-1.07717628E+002	-1.30323782E+001	6.02871895E-001	
2.59513521E+000	2.75688076E+000	-1.06851517E+002	-1.30454016E+001	5.53271115E-001	
2.59515429E+000	2.75787973E+000	-1.07220413E+002	-1.30984259E+001	5.25027156E-001	
2.59517360E+000	2.75887847E+000	-1.05923386E+002	-1.29353209E+001	5.80704927E-001	
2.59519267E+000	2.75987744E+000	-1.07810661E+002	-1.35117741E+001	5.68126440E-001	
2.59521198E+000	2.76087618E+000	-1.07691635E+002	-1.28249302E+001	5.36721289E-001	
2.59523129E+000	2.76187515E+000	-1.06838409E+002	-1.29517555E+001	5.19567847E-001	
2.59525037E+000	2.76287389E+000	-1.06432198E+002	-1.29015207E+001	5.42381823E-001	
2.59526968E+000	2.76387286E+000	-1.08040047E+002	-1.28822956E+001	5.47480881E-001	
2.59528875E+000	2.76487160E+000	-1.08104568E+002	-1.33278913E+001	5.41552722E-001	
2.59530807E+000	2.76587057E+000	-1.07525208E+002	-1.27545395E+001	5.83375573E-001	
2.59532714E+000	2.76686931E+000	-1.08111984E+002	-1.28937683E+001	5.83257735E-001	
2.59534645E+000	2.76786804E+000	-1.07996529E+002	-1.28007421E+001	5.86333215E-001	
2.59536576E+000	2.76886702E+000	-1.07477501E+002	-1.27973318E+001	5.76912820E-001	
2.59538484E+000	2.76986575E+000	-1.05423889E+002	-1.29061718E+001	5.63562512E-001	
2.59540415E+000	2.77086473E+000	-1.06139389E+002	-1.29498949E+001	5.94581842E-001	
2.59542322E+000	2.77186346E+000	-1.07676025E+002	-1.35297594E+001	5.47637522E-001	
2.59544253E+000	2.77286243E+000	-1.06964912E+002	-1.29948578E+001	5.60975313E-001	
2.59546161E+000	2.77386117E+000	-1.06347153E+002	-1.27960911E+001	5.80600739E-001	
2.59548092E+000	2.77486014E+000	-1.09049942E+002	-1.29325294E+001	5.65936565E-001	
2.59550023E+000	2.77585888E+000	-1.08450119E+002	-1.28398142E+001	5.50786138E-001	
2.59551930E+000	2.77685785E+000	-1.06913147E+002	-1.30147038E+001	5.44961691E-001	
2.59553862E+000	2.77785659E+000	-1.07769554E+002	-1.29821444E+001	5.48341632E-001	
2.59555769E+000	2.77885532E+000	-1.09545296E+002	-1.29204369E+001	5.47091722E-001	
2.59557700E+000	2.77985430E+000	-1.08978027E+002	-1.29077225E+001	5.14316022E-001	
2.59559608E+000	2.78085303E+000	-1.07326508E+002	-1.36271267E+001	4.97491509E-001	
2.59561539E+000	2.78185201E+000	-1.08653481E+002	-1.36041803E+001	5.03824055E-001	
2.59563470E+000	2.78285074E+000	-1.08340675E+002	-1.30317583E+001	4.92099136E-001	
2.59565377E+000	2.78384972E+000	-1.07816605E+002	-1.29319096E+001	4.54180598E-001	
2.59567308E+000	2.78484845E+000	-1.08060570E+002	-1.28146963E+001	4.84692991E-001	
2.59569216E+000	2.78584743E+000	-1.10309753E+002	-1.28339214E+001	4.88657117E-001	
2.59571147E+000	2.78684616E+000	-1.07874413E+002	-1.27681828E+001	5.23164988E-001	
2.59573054E+000	2.78784513E+000	-1.08319435E+002	-1.30658674E+001	5.21638393E-001	
2.59574986E+000	2.78884387E+000	-1.08667183E+002	-1.29607468E+001	5.50835133E-001	
2.59576893E+000	2.78984284E+000	-1.06736748E+002	-1.29083433E+001	5.11240423E-001	
2.59578824E+000	2.79084158E+000	-1.05200699E+002	-1.31737785E+001	4.97243762E-001	
2.59580755E+000	2.79184031E+000	-1.06377686E+002	-1.32544012E+001	5.25548398E-001	
2.59582663E+000	2.79283929E+000	-1.06379349E+002	-1.37886829E+001	5.33726931E-001	
2.59584594E+000	2.79383802E+000	-1.06050079E+002	-1.37465115E+001	5.37009418E-001	
2.59586501E+000	2.79483700E+000	-1.07188103E+002	-1.35412321E+001	5.02955675E-001	
2.59588432E+000	2.79583573E+000	-1.07247192E+002	-1.30767212E+001	4.77509171E-001	
2.59590340E+000	2.79683471E+000	-1.06995758E+002	-1.29055529E+001	4.90828663E-001	
2.59592271E+000	2.79783344E+000	-1.06431183E+002	-1.30788918E+001	5.31378806E-001	
2.59594202E+000	2.79883242E+000	-1.06673843E+002	-1.29436932E+001	5.60004592E-001	
2.59596109E+000	2.79983115E+000	-1.06318848E+002	-1.30388899E+001	5.54754972E-001	
2.59598041E+000	2.80083013E+000	-1.07307007E+002	-1.29722214E+001	5.38471878E-001	
2.59599948E+000	2.80182886E+000	-1.06130516E+002	-1.28906689E+001	5.60187757E-001	
2.59601879E+000	2.80282784E+000	-1.06496201E+002	-1.29585772E+001	5.38631737E-001	
2.59603786E+000	2.80382657E+000	-1.06143112E+002	-1.29464846E+001	5.64641893E-001	
2.59605718E+000	2.80482531E+000	-1.06810440E+002	-1.31629248E+001	5.50666928E-001	
2.59607649E+000	2.80582428E+000	-1.06906349E+002	-1.31167221E+001	5.52306712E-001	
2.59609556E+000	2.80682302E+000	-1.08873184E+002	-1.29867945E+001	5.63269913E-001	
2.59611487E+000	2.80782199E+000	-1.09689110E+002	-1.29077225E+001	5.48277020E-001	
2.59613395E+000	2.80882072E+000	-1.10797562E+002	-1.26909723E+001	5.29638588E-001	
2.59615326E+000	2.80981970E+000	-1.08586540E+002	-1.28075647E+001	5.48187912E-001	
2.59617233E+000	2.81081843E+000	-1.09391953E+002	-1.30584259E+001	5.34638464E-001	
2.59619164E+000	2.81181741E+000	-1.08934792E+002	-1.30385799E+001	5.81966460E-001	
2.59621096E+000	2.81281614E+000	-1.08244553E+002	-1.30171843E+001	5.29864073E-001	
2.59623003E+000	2.81381512E+000	-1.08055817E+002	-1.29092741E+001	4.63519663E-001	
2.59624934E+000	2.81481385E+000	-1.09297028E+002	-1.30916052E+001	5.27886987E-001	
2.59626842E+000	2.81581259E+000	-1.09053406E+002	-1.29210558E+001	5.09827554E-001	
2.59628773E+000	2.81681156E+000	-1.08665588E+002	-1.23954573E+001	5.04384160E-001	
2.59630680E+000	2.81781030E+000	-1.08821594E+002	-1.23253775E+001	5.11655867E-001	
2.59632611E+000	2.81880927E+000	-1.08897415E+002	-1.17101631E+001	5.17865777E-001	
2.59634519E+000	2.81980801E+000	-1.07513565E+002	-1.14893799E+001	4.66190547E-001	
2.59636450E+000	2.82080698E+000	-1.08411827E+002	-1.12893744E+001	4.52458352E-001	
2.59638381E+000	2.82180572E+000	-1.09226067E+002	-1.14106178E+001	3.98180217E-001	
2.59640288E+000	2.82280469E+000	-1.08247299E+002	-1.14456587E+001	3.17032009E-001	
2.59642220E+000	2.82380342E+000	-1.08360985E+002	-1.14028654E+001	1.25298008E-001	
2.59644127E+000	2.82480240E+000	-1.10767319E+002	7.62029419E+002	1.05533749E-001	
2.59646058E+000	2.82580113E+000	-1.10064400E+002	1.42501001E+003	1.30705371E-001	
2.59647965E+000	2.82680011E+000	-1.08809799E+002	-5.84241150E+002	1.36990950E-001	
2.59649897E+000	2.82779884E+000	-1.07513763E+002	-5.49994080E+002	1.51451826E-001	
2.59651828E+000	2.82879758E+000	-1.07151077E+002	-5.16943359E+002	1.58622220E-001	
2.59653735E+000	2.82979655E+000	-1.07362518E+002	-4.85197479E+002	1.67896196E-001	
2.59655666E+000	2.83079529E+000	-1.06643066E+002	-4.54702820E+002	1.65715545E-001	
2.59657574E+000	2.83179426E+000	-1.06544151E+002	-4.20412018E+002	1.66920438E-001	
2.59659505E+000	2.83279300E+000	-1.08888306E+002	-3.88657471E+002	1.62208691E-001	
2.59661412E+000	2.83379197E+000	-1.08361877E+002	1.47459680E+003	1.66859671E-001	
2.59663343E+000	2.83479071E+000	-1.07979134E+002	-2.38794098E+002	1.61825478E-001	
2.59665275E+000	2.83578968E+000	-1.08998734E+002	4.82576935E+002	1.59905076E-001	
2.59667182E+000	2.83678842E+000	-1.10441147E+002	-1.88651333E+001	1.28328174E-001	
2.59669113E+000	2.83778739E+000	-1.09302597E+002	-1.93861084E+003	1.07010968E-001	
2.59671021E+000	2.83878613E+000	-1.10999878E+002	-1.08088086E+003	1.12734012E-001	
2.59672952E+000	2.83978486E+000	-1.10287872E+002	-2.99935722E+001	1.11227155E-001	
2.59674859E+000	2.84078383E+000	-1.10109802E+002	-2.99811687E+001	1.44713283E-001	
2.59676790E+000	2.84178257E+000	-1.07766006E+002	-3.04692459E+001	1.60858244E-001	
2.59678721E+000	2.84278154E+000	-1.07852356E+002	-2.93101368E+001	1.82823405E-001	
2.59680629E+000	2.84378028E+000	-1.06889969E+002	-3.00887680E+001	1.85635313E-001	
2.59682560E+000	2.84477925E+000	-1.07303307E+002	-3.00279903E+001	2.39077136E-001	
2.59684467E+000	2.84577799E+000	-1.07660309E+002	-3.02382317E+001	2.67044842E-001	
2.59686399E+000	2.84677696E+000	-1.08721985E+002	-3.01346607E+001	2.86155462E-001	
2.59688306E+000	2.84777570E+000	-1.09354408E+002	-3.08373203E+001	3.40854466E-001	
2.59690237E+000	2.84877467E+000	-1.08411858E+002	-3.06698742E+001	4.38149095E-001	
2.59692144E+000	2.84977341E+000	-1.08476341E+002	-3.06791744E+001	3.27871799E-001	
2.59694076E+000	2.85077238E+000	-1.05588264E+002	-3.05281620E+001	2.62430668E-001	
2.59696007E+000	2.85177112E+000	-1.06070724E+002	1.95466446E+002	1.97400585E-001	
2.59697914E+000	2.85276985E+000	-1.05821266E+002	2.04973804E+003	1.89534739E-001	
2.59699845E+000	2.85376883E+000	-1.06605652E+002	2.05112109E+003	2.31478572E-001	
2.59701753E+000	2.85476756E+000	-1.05820229E+002	2.04992725E+003	2.00522125E-001	
2.59703684E+000	2.85576653E+000	-1.09024208E+002	-1.93137375E+002	1.90390334E-001	
2.59705591E+000	2.85676527E+000	-1.08666504E+002	-1.44968613E+002	1.86847776E-001	
2.59707522E+000	2.85776424E+000	-1.08213112E+002	-1.48699600E+002	1.91158533E-001	
2.59709454E+000	2.85876298E+000	-1.06807259E+002	-1.56130539E+002	1.87835306E-001	
2.59711361E+000	2.85976195E+000	-1.07958679E+002	-3.01656685E+001	2.88721442E-001	
2.59713292E+000	2.86076069E+000	-1.06731407E+002	-2.99842682E+001	2.84618586E-001	
2.59715199E+000	2.86175966E+000	-1.05667000E+002	-3.01963692E+001	5.79875231E-001	
2.59717131E+000	2.86275840E+000	-1.04935913E+002	-3.01644287E+001	6.52580857E-001	
2.59719038E+000	2.86375713E+000	-1.05451576E+002	-3.03557549E+001	7.28576064E-001	
2.59720969E+000	2.86475611E+000	-1.05429749E+002	-3.03728085E+001	7.42844760E-001	
2.59722900E+000	2.86575484E+000	-1.06142212E+002	-3.05616531E+001	7.46773720E-001	
2.59724808E+000	2.86675382E+000	-1.07098358E+002	-3.05709553E+001	7.54520118E-001	
2.59726739E+000	2.86775255E+000	-1.07821808E+002	-3.06621189E+001	7.43610740E-001	
2.59728646E+000	2.86875153E+000	-1.08875504E+002	-3.07216568E+001	7.70668447E-001	
2.59730577E+000	2.86975026E+000	-1.08826408E+002	-3.05263023E+001	7.77186692E-001	
2.59732485E+000	2.87074924E+000	-1.08153107E+002	-3.05734348E+001	7.71173060E-001	
2.59734416E+000	2.87174797E+000	-1.08123283E+002	-3.06174679E+001	7.74133682E-001	
2.59736323E+000	2.87274694E+000	-1.09736565E+002	-3.04999447E+001	7.44551361E-001	
2.59738255E+000	2.87374568E+000	-1.10139015E+002	-3.04959126E+001	7.23929465E-001	
2.59740186E+000	2.87474465E+000	-1.10445465E+002	-3.04273834E+001	7.26292729E-001	
2.59742093E+000	2.87574339E+000	-1.11230484E+002	-3.04890919E+001	7.45938003E-001	
