Acquired on 3/23/2026 at 20:45:11
Calibrated on 2/21/2023 at 03:14:48
Device Descriptor:  [none]
Scan Range (nm):  1545.445  --  1588.034
Measurement Type:  Reflection
Group Index:  1.500
Gain:  24 dB
Domain:  Time
Spatial Resolution (mm):  0.100209
Frequency domain window was not applied to measurement data.
Gage length:  1.000766 cm
Sensor spacing:  0.099884 cm
Number of Data Points (in this file):  41648
NOTE: Data stored in this file is not decimated.

Length (m)	Length (m)	Amplitude (dB/mm)	Spectral Shift (GHz)	Spectral Shift Quality	
2.59323359E+000	2.65799522E+000	-1.11191826E+002	-1.26308136E+001	5.12944043E-001	
2.59325266E+000	2.65899396E+000	-1.10391464E+002	-1.27328329E+001	5.51682770E-001	
2.59327197E+000	2.65999293E+000	-1.11148209E+002	-1.29483433E+001	5.49336791E-001	
2.59329104E+000	2.66099167E+000	-1.12321999E+002	-1.30106716E+001	5.54822028E-001	
2.59331036E+000	2.66199064E+000	-1.08553955E+002	-1.27421360E+001	5.10542274E-001	
2.59332967E+000	2.66298938E+000	-1.07607727E+002	-1.37967443E+001	4.93032753E-001	
2.59334874E+000	2.66398835E+000	-1.05268562E+002	-1.38339548E+001	4.97269630E-001	
2.59336805E+000	2.66498709E+000	-1.04776649E+002	-1.36764307E+001	4.96147692E-001	
2.59338713E+000	2.66598606E+000	-1.04350853E+002	-1.31226139E+001	4.94436443E-001	
2.59340644E+000	2.66698480E+000	-1.05150764E+002	-1.30252457E+001	5.16158998E-001	
2.59342551E+000	2.66798377E+000	-1.04361557E+002	-1.29374914E+001	4.85144973E-001	
2.59344482E+000	2.66898251E+000	-1.06187469E+002	-1.28953190E+001	5.00806391E-001	
2.59346390E+000	2.66998124E+000	-1.06320145E+002	-1.28698921E+001	4.97116864E-001	
2.59348321E+000	2.67098022E+000	-1.06964500E+002	-1.27976418E+001	5.12930572E-001	
2.59350252E+000	2.67197895E+000	-1.06999168E+002	-1.25433702E+001	5.27824938E-001	
2.59352160E+000	2.67297792E+000	-1.09267029E+002	-1.27511282E+001	5.44106901E-001	
2.59354091E+000	2.67397666E+000	-1.09662521E+002	-1.26624441E+001	5.53732872E-001	
2.59355998E+000	2.67497563E+000	-1.10075035E+002	-1.26308136E+001	5.40949047E-001	
2.59357929E+000	2.67597437E+000	-1.10088242E+002	-1.27430668E+001	4.92908239E-001	
2.59359837E+000	2.67697334E+000	-1.08310471E+002	-1.29126844E+001	4.82134968E-001	
2.59361768E+000	2.67797208E+000	-1.07447617E+002	-1.28714418E+001	5.30180633E-001	
2.59363699E+000	2.67897105E+000	-1.06658432E+002	-1.29210558E+001	5.61908960E-001	
2.59365606E+000	2.67996979E+000	-1.07359314E+002	-1.31570339E+001	5.56202650E-001	
2.59367537E+000	2.68096876E+000	-1.07112282E+002	-1.30900545E+001	5.96320152E-001	
2.59369445E+000	2.68196750E+000	-1.06030266E+002	-1.30605965E+001	5.80365121E-001	
2.59371376E+000	2.68296623E+000	-1.06687691E+002	-1.30246267E+001	6.15498781E-001	
2.59373283E+000	2.68396521E+000	-1.07653946E+002	-1.28903580E+001	5.93792021E-001	
2.59375215E+000	2.68496394E+000	-1.07609573E+002	-1.28584194E+001	5.58978438E-001	
2.59377146E+000	2.68596292E+000	-1.07573051E+002	-1.27985716E+001	5.71314991E-001	
2.59379053E+000	2.68696165E+000	-1.10408867E+002	-1.27619810E+001	5.43831348E-001	
2.59380984E+000	2.68796062E+000	-1.08972687E+002	-1.29675703E+001	5.73547304E-001	
2.59382892E+000	2.68895936E+000	-1.08762344E+002	-1.29895859E+001	5.50341189E-001	
