T,RH,target,mae,rmse,max_abs,n_samples,model
35,20,RH,2.8993707322886237,3.529816816312493,5.484303456060793,3,svr_rbf_tuned
35,20,T,0.022172026152735686,0.023841476245543242,0.03283746251263153,3,svr_rbf_tuned
35,30,RH,0.697952516985346,0.8394868555887199,1.3491541650741325,3,svr_rbf_tuned
35,30,T,0.015077111108562727,0.015789984549999324,0.02062801425866212,3,svr_rbf_tuned
35,40,RH,0.4470732660412982,0.46943375976389773,0.5831391065951905,3,svr_rbf_tuned
35,40,T,0.013204001085026581,0.01637120790875858,0.025073302997220992,3,svr_rbf_tuned
35,50,RH,0.5515568004899976,0.6343543697513565,0.8847319656877985,3,svr_rbf_tuned
35,50,T,0.018432235793798196,0.020295322525948484,0.0256808901279868,3,svr_rbf_tuned
35,60,RH,0.22472986633922432,0.2664896480174429,0.4230808962848087,3,svr_rbf_tuned
35,60,T,0.01794002800907653,0.02078511313459134,0.030975775406417938,3,svr_rbf_tuned
35,70,RH,0.29423487264591586,0.41593620669017856,0.7099356038307576,3,svr_rbf_tuned
35,70,T,0.014554093464172505,0.01569537418289706,0.021766863864741026,3,svr_rbf_tuned
35,80,RH,1.2408007502679272,1.6524463424626235,2.774850933802753,3,svr_rbf_tuned
35,80,T,0.03085028105117023,0.03196803355732665,0.04160016061217675,3,svr_rbf_tuned
45,20,RH,1.427716284585517,1.5055555171816304,2.1016875602367904,3,svr_rbf_tuned
45,20,T,0.04103356732685626,0.0610334162479264,0.10419427677790338,3,svr_rbf_tuned
45,30,RH,0.34923584309508016,0.3520212425342245,0.4107337947376166,3,svr_rbf_tuned
45,30,T,0.028815885669395414,0.030735764552505068,0.043645455708151815,3,svr_rbf_tuned
45,40,RH,0.8508806642448429,1.0031387486533963,1.5582411182560563,3,svr_rbf_tuned
45,40,T,0.034631274178022885,0.03975608552172224,0.06165465915787394,3,svr_rbf_tuned
45,50,RH,0.17332470119842233,0.20688590166420584,0.2579615222755578,3,svr_rbf_tuned
45,50,T,0.012203239582691575,0.012345452815739465,0.013938006337021136,3,svr_rbf_tuned
45,60,RH,0.4391375792765544,0.47904147771161665,0.7097439209464866,3,svr_rbf_tuned
45,60,T,0.053853329464037834,0.057488621322664316,0.08184742441950732,3,svr_rbf_tuned
45,70,RH,1.0083632593753105,1.0216283371153565,1.2403725526386324,3,svr_rbf_tuned
45,70,T,0.09576023213098495,0.1355885980938439,0.22732617733890947,3,svr_rbf_tuned
45,80,RH,0.38339320014302797,0.41350152134995005,0.5841221541024026,3,svr_rbf_tuned
45,80,T,0.02937093880123598,0.041905827889941766,0.07121496785773473,3,svr_rbf_tuned
55,20,RH,0.4259813503724506,0.45501836906205706,0.5708006058203026,3,svr_rbf_tuned
55,20,T,0.0736405199840841,0.1247079374465496,0.2159490978622216,3,svr_rbf_tuned
55,30,RH,0.16908288165297117,0.20807865003498463,0.29982636486210623,3,svr_rbf_tuned
55,30,T,0.0902978471514236,0.10384106361258877,0.15981396041424034,3,svr_rbf_tuned
55,40,RH,0.2519070045447786,0.34239720602108736,0.5736622272156424,3,svr_rbf_tuned
55,40,T,0.06530513188219089,0.0713311031413506,0.09258407460443152,3,svr_rbf_tuned
55,50,RH,0.35406726907254676,0.49931797393727806,0.8467142696676788,3,svr_rbf_tuned
55,50,T,0.03306732381069821,0.03997418608318676,0.04954752838852983,3,svr_rbf_tuned
55,60,RH,0.37336048867531463,0.40588674118789486,0.5982373701314501,3,svr_rbf_tuned
55,60,T,0.01654157993239617,0.01841779266466713,0.02580707982963304,3,svr_rbf_tuned
55,70,RH,0.4091607936169434,0.43312147035585263,0.6016009540655602,3,svr_rbf_tuned
55,70,T,0.031042144434091295,0.033493468474037405,0.04648403044724603,3,svr_rbf_tuned
55,80,RH,0.860193504312131,0.987085956025619,1.2152203597138964,3,svr_rbf_tuned
55,80,T,0.04956215442094466,0.05906896941014998,0.09330871561623155,3,svr_rbf_tuned
65,20,RH,0.2781374068954274,0.3083570659207579,0.45192694793492905,3,svr_rbf_tuned
65,20,T,0.05938661214491958,0.061760606087527384,0.08336281029693282,3,svr_rbf_tuned
65,30,RH,0.9088359803749005,1.0100409309424943,1.4104510885716977,3,svr_rbf_tuned
65,30,T,0.04595774540326166,0.05553263362408827,0.08910225870019417,3,svr_rbf_tuned
65,40,RH,0.4188415192315323,0.500096833422007,0.7521039275457397,3,svr_rbf_tuned
65,40,T,0.04728630024692867,0.05375386248663665,0.08175310494507926,3,svr_rbf_tuned
65,50,RH,0.36222575161890563,0.4619330239389497,0.7416955177917757,3,svr_rbf_tuned
65,50,T,0.01761044628908337,0.020300390888178938,0.02618017994059585,3,svr_rbf_tuned
65,60,RH,0.4352117330755784,0.4860821242120249,0.6182977352171193,3,svr_rbf_tuned
65,60,T,0.05812170640234152,0.06411092063279003,0.08023889173165344,3,svr_rbf_tuned
65,70,RH,0.6021943763713201,0.6365894568830072,0.8919314855856726,3,svr_rbf_tuned
65,70,T,0.08703081054577429,0.11572986017688969,0.19415232643837044,3,svr_rbf_tuned
65,80,RH,0.2957019961398733,0.2978704043046193,0.34354705628967963,3,svr_rbf_tuned
65,80,T,0.009414675052947056,0.009779091146688398,0.011442518374934707,3,svr_rbf_tuned
75,20,RH,1.5843762609842642,1.5957714887109176,1.8522293720695515,3,svr_rbf_tuned
75,20,T,0.19291578991492506,0.19654640365437648,0.2453143342050339,3,svr_rbf_tuned
75,30,RH,0.5651607177126982,0.6599574342834476,1.0463428133850456,3,svr_rbf_tuned
75,30,T,0.045574745675007,0.053836581192553426,0.07900441594543395,3,svr_rbf_tuned
75,40,RH,0.5911704170081128,0.6770025283144567,1.0479535796553918,3,svr_rbf_tuned
75,40,T,0.03684820474257814,0.04948438970066195,0.08142747942838469,3,svr_rbf_tuned
75,50,RH,0.1971532010085634,0.27865434412926426,0.4714246989104609,3,svr_rbf_tuned
75,50,T,0.06010060630547779,0.07287275980863854,0.11629230103676491,3,svr_rbf_tuned
75,60,RH,0.7242308043699642,0.7317401243336813,0.8510548763201413,3,svr_rbf_tuned
75,60,T,0.07752160771247911,0.07918252976914082,0.09522388819058847,3,svr_rbf_tuned
75,70,RH,0.47220871058087255,0.5021874326424486,0.5933596170599742,3,svr_rbf_tuned
75,70,T,0.03146972910209911,0.0324354505145801,0.038037819601939304,3,svr_rbf_tuned
75,80,RH,0.23716866740715167,0.24628900249615351,0.3187595336041511,3,svr_rbf_tuned
75,80,T,0.00843472338447763,0.00862863291946239,0.010238025553590546,3,svr_rbf_tuned
