target,mae,rmse,r2,max_abs,n_samples,model
T,734.9992065429688,802.2036446563927,-3216.6533203125,1303.3204345703125,105,cnn1d
RH,1501.81787109375,1603.5988432273205,-6427.82275390625,2778.014892578125,105,cnn1d
