target,mae,rmse,r2,max_abs,n_samples,model,T_holdout,RH_holdout
T,0.09924460733921378,0.118462605492656,0.0,0.2442562107495121,20,lasso,65,40
RH,0.624038993089884,0.8013684662749186,0.0,1.749037851675233,20,lasso,65,40
T,0.07476772824366762,0.09098487209321697,0.0,0.17300216100332477,20,lasso,65,50
RH,1.1073776051417326,1.21861616156434,0.0,2.4093244573269033,20,lasso,65,50
T,0.07505521769561482,0.0852806163423077,0.0,0.19037897733386444,20,lasso,65,60
RH,0.8905591619445712,1.1663336848257149,0.0,2.6596731632664827,20,lasso,65,60
T,0.07651103139563417,0.1057727171232032,0.0,0.292536667956,20,lasso,65,70
RH,0.7867665704983402,1.0249193511599748,0.0,2.22456026808554,20,lasso,65,70
T,0.09466055270817009,0.11005195297006767,0.0,0.21078620888506805,20,lasso,65,80
RH,1.061966189990408,1.3712044977318119,0.0,2.561269418729836,20,lasso,65,80
T,0.14144480344031862,0.1613870248159819,0.0,0.30341387411812093,20,lasso,75,20
RH,1.86850337384314,2.006349520031258,0.0,2.7596908801570024,20,lasso,75,20
T,0.08556675714438455,0.11339599383062413,0.0,0.2670406429336367,20,lasso,75,30
RH,0.7932584286217672,1.05990845091393,0.0,2.476944447504117,20,lasso,75,30
T,0.0810331671389882,0.09222980349728145,0.0,0.14074811847683577,20,lasso,75,40
RH,0.6109515829646888,0.7825862013863719,0.0,1.592712446009557,20,lasso,75,40
T,0.08261504298513671,0.1077733500331605,0.0,0.2424668680801716,20,lasso,75,50
RH,1.2085827980528037,1.5056355511833288,0.0,3.302619736798164,20,lasso,75,50
T,0.1821814472731198,0.1983634583498241,0.0,0.38151015082786444,20,lasso,75,60
RH,0.7562551360251273,0.9831827590576077,0.0,2.5120644278534883,20,lasso,75,60
T,0.12338198433667387,0.1567815955306562,0.0,0.3447910338649507,20,lasso,75,70
RH,1.1455441126280477,1.3388280206917786,0.0,2.3762815783245657,20,lasso,75,70
T,0.27414449385684136,0.29263751449859166,0.0,0.4413188414876288,20,lasso,75,80
RH,1.2019115402589258,1.4237395895386813,0.0,2.8487401492951534,20,lasso,75,80
T,0.33111111111111563,0.3420941318726933,0.0,0.4833333333333414,20,random_forest,35,20
RH,12.499583333333328,12.631049879753256,0.0,15.217777777777776,20,random_forest,35,20
T,0.1866666666666692,0.2820614152543906,0.0,0.8277777777777828,20,random_forest,35,30
RH,9.65,9.653220533410943,0.0,10.0,20,random_forest,35,30
T,1.4824999999999995,1.4827480118572627,0.0,1.5499999999999972,20,random_forest,35,40
RH,11.078333333333337,11.080214682369988,0.0,11.383333333333333,20,random_forest,35,40
T,1.272222222222225,1.2724641933888736,0.0,1.31388888888889,20,random_forest,35,50
RH,7.144444444444441,7.146169223290278,0.0,7.394444444444439,20,random_forest,35,50
T,1.7102777777777773,1.8170493141014483,0.0,2.4666666666666686,20,random_forest,35,60
RH,10.751916666666661,10.814006511761477,0.0,13.821111111111115,20,random_forest,35,60
T,3.7891666666666657,3.8051859106770074,0.0,4.797777777777775,20,random_forest,35,70
RH,10.664305555555556,10.674578897786166,0.0,11.825000000000003,20,random_forest,35,70
T,6.06,6.060152179974066,0.0,6.200000000000003,20,random_forest,35,80
RH,9.970000000000002,9.970010587311888,0.0,10.033333333333331,20,random_forest,35,80
T,0.30999999999999944,0.34189017079888173,0.0,0.7000000000000028,20,random_forest,45,20
RH,12.595,12.682667525231258,0.0,15.0,20,random_forest,45,20
T,1.3591666666666669,1.439960454703917,0.0,2.0166666666666657,20,random_forest,45,30
RH,6.991666666666665,8.449779747293876,0.0,13.233333333333334,20,random_forest,45,30
T,0.5054166666666656,0.5157013832312899,0.0,0.6000000000000014,20,random_forest,45,40
RH,9.426111111111112,9.468808280185717,0.0,9.81666666666667,20,random_forest,45,40
T,9.141666666666666,9.145366161189076,0.0,9.366666666666667,20,random_forest,45,50
RH,7.911666666666667,7.9357804349106775,0.0,8.799999999999997,20,random_forest,45,50
T,0.8527222222222222,0.9093934011332455,0.0,1.2000000000000028,20,random_forest,45,60
RH,5.273944444444446,5.669986777914779,0.0,10.22888888888889,20,random_forest,45,60
T,0.2597222222222225,0.395095315894754,0.0,1.18888888888889,20,random_forest,45,70
RH,4.773333333333333,5.47803695577977,0.0,9.900000000000006,20,random_forest,45,70
T,0.8583333333333325,0.8771481567494098,0.0,1.3999999999999986,20,random_forest,45,80
RH,9.960000000000003,9.960008924583242,0.0,9.966666666666669,20,random_forest,45,80
T,0.522777777777781,0.6074486210046883,0.0,1.0388888888888914,20,random_forest,55,20
