target,mae,rmse,r2,max_abs,n_samples,model
T,0.11924960900407518,0.15309832649448157,0.999882804512123,0.3710971770818503,105,ridge
RH,1.31791374036452,1.7604090702016504,0.9922523997638794,5.59189122015254,105,ridge
T,0.11630497652110468,0.14933282838547327,0.9998884985318319,0.40050993124125966,105,lasso
RH,1.303334093499008,1.7362120523961644,0.9924639192727858,5.5465555116233105,105,lasso
T,0.09125925925925944,0.20185021600230332,0.9997962824514991,1.13333333333334,105,random_forest
RH,0.5210944822373391,1.3094470494005725,0.9957133710620404,8.566666666666666,105,random_forest
T,2.4903640199421975e-06,2.934922142631039e-06,0.9999999999999569,4.150606699226955e-06,105,gradient_boosting
RH,1.1567822314338392,1.963966702401627,0.9903570869796442,10.477991990333756,105,gradient_boosting
