target,mae,rmse,r2,max_abs,n_samples,T_holdout,RH_holdout
T,2.276841878890991,2.2771051455258973,0.0,2.3415184020996094,20,35,20
RH,7.023824214935303,7.025280126233457,0.0,7.272918701171875,20,35,20
T,0.8616458773612976,0.8617720724919455,0.0,0.886932373046875,20,35,30
RH,11.013376235961914,11.013756906093553,0.0,11.185432434082031,20,35,30
T,2.3874166011810303,2.387509179222476,0.0,2.4305496215820312,20,35,40
RH,13.968243598937988,13.968777308768049,0.0,14.182435989379883,20,35,40
T,0.17860889434814453,0.1798815508703997,0.0,0.21688079833984375,20,35,50
RH,4.765371799468994,4.771464787746329,0.0,5.224571228027344,20,35,50
T,0.1377941071987152,0.16585251143957294,0.0,0.26767730712890625,20,35,60
RH,0.8572633862495422,1.040188802765861,0.0,1.8560333251953125,20,35,60
T,0.9900766611099243,0.9925746312656039,0.0,1.0508003234863281,20,35,70
RH,2.3709380626678467,2.3970894768557325,0.0,2.8049392700195312,20,35,70
T,1.9206373691558838,1.9227984311119044,0.0,2.027557373046875,20,35,80
RH,6.8285417556762695,6.957829835991344,0.0,8.475570678710938,20,35,80
T,1.5546671152114868,1.5548965083576722,0.0,1.5936851501464844,20,45,20
RH,12.137735366821289,12.138658518948807,0.0,12.432140350341797,20,45,20
T,0.6560415029525757,0.6564130353497454,0.0,0.7020912170410156,20,45,30
RH,11.285392761230469,11.28585391794642,0.0,11.47132682800293,20,45,30
T,1.7736002206802368,1.7737441280985573,0.0,1.818756103515625,20,45,40
RH,9.366467475891113,9.369468583026483,0.0,9.675382614135742,20,45,40
T,0.41842421889305115,0.46994636769888365,0.0,0.6252479553222656,20,45,50
RH,4.4200029373168945,4.5013408782437745,0.0,6.521644592285156,20,45,50
T,0.9399948120117188,0.9702445468665798,0.0,1.3426399230957031,20,45,60
RH,0.787868320941925,0.9046189988841102,0.0,1.5606460571289062,20,45,60
T,1.271425485610962,1.284797038514559,0.0,1.5541877746582031,20,45,70
RH,2.6637721061706543,2.697598226206593,0.0,3.1618270874023438,20,45,70
T,0.7334671020507812,0.8227580718435906,0.0,1.261199951171875,20,45,80
RH,3.1502022743225098,3.181290805757295,0.0,4.0302886962890625,20,45,80
T,0.2655755877494812,0.26798030116594784,0.0,0.3237342834472656,20,55,20
RH,7.200070381164551,7.20130642588565,0.0,7.474103927612305,20,55,20
T,0.1140773743391037,0.11472192875067316,0.0,0.13228225708007812,20,55,30
RH,3.9129638671875,3.916889563095608,0.0,4.314491271972656,20,55,30
T,0.6119050979614258,0.6124272079420497,0.0,0.6570854187011719,20,55,40
RH,5.728525638580322,5.864704932606005,0.0,6.4178009033203125,20,55,40
T,0.4907260835170746,0.5048298614301125,0.0,0.6161994934082031,20,55,50
RH,2.4046058654785156,2.583368875402606,0.0,4.586524963378906,20,55,50
T,0.603903591632843,0.617069450387958,0.0,0.8710098266601562,20,55,60
RH,1.2831220626831055,1.5389705572404095,0.0,2.446044921875,20,55,60
T,1.4586782455444336,1.4673135104113548,0.0,1.6905136108398438,20,55,70
RH,0.7034667730331421,0.8446573041626837,0.0,1.8194656372070312,20,55,70
T,1.1250107288360596,1.126982848834885,0.0,1.1995277404785156,20,55,80
RH,2.0917277336120605,2.1942685723415716,0.0,2.7728271484375,20,55,80
T,2.1290061473846436,2.129275004796474,0.0,2.1907119750976562,20,65,20
RH,7.174666404724121,7.175183432756348,0.0,7.326389312744141,20,65,20
T,0.6472786068916321,0.6561919368307223,0.0,0.7781600952148438,20,65,30
RH,2.1444337368011475,2.1612138969975736,0.0,2.618480682373047,20,65,30
T,0.8056468963623047,0.8343601496942961,0.0,1.149688720703125,20,65,40
RH,2.188469409942627,2.325569029874973,0.0,3.4743003845214844,20,65,40
T,0.6750255823135376,0.6919130741453243,0.0,0.992218017578125,20,65,50
RH,0.7709089517593384,0.8862972518096672,0.0,2.0382003784179688,20,65,50
T,0.39207038283348083,0.4164377318714681,0.0,0.5322647094726562,20,65,60
RH,2.080113649368286,2.54956287302468,0.0,4.9818572998046875,20,65,60
T,0.36380845308303833,0.38141943027800035,0.0,0.7848663330078125,20,65,70
RH,0.7319709658622742,1.2411795311292653,0.0,3.6792984008789062,20,65,70
T,2.131849765777588,2.138383903450542,0.0,2.2961044311523438,20,65,80
RH,2.49135160446167,2.5406675928728584,0.0,3.1391448974609375,20,65,80
T,0.7805706262588501,0.7819536854694975,0.0,0.8675003051757812,20,75,20
RH,3.5872650146484375,3.5981649066142634,0.0,4.10130500793457,20,75,20
T,1.8780441284179688,1.8798259300444433,0.0,1.9486541748046875,20,75,30
RH,3.1984994411468506,3.240078085912069,0.0,4.977870941162109,20,75,30
T,0.6738792657852173,0.7171022352010107,0.0,0.9342575073242188,20,75,40
RH,0.2635635435581207,0.326505182337562,0.0,0.738128662109375,20,75,40
T,0.2862808108329773,0.3867667967879093,0.0,0.6942520141601562,20,75,50
RH,3.426387071609497,3.644827451454857,0.0,5.505756378173828,20,75,50
T,0.7456092834472656,0.8266670060028898,0.0,1.3182373046875,20,75,60
RH,2.0991952419281006,2.3876271119158075,0.0,4.262939453125,20,75,60
T,1.3992904424667358,1.4799713668115446,0.0,2.3976593017578125,20,75,70
RH,1.922019600868225,2.000198712014065,0.0,3.2705459594726562,20,75,70
T,0.4687454104423523,0.5865553840526677,0.0,1.0377731323242188,20,75,80
RH,4.772543430328369,4.933091138788513,0.0,7.361518859863281,20,75,80
