target,mae,rmse,r2,max_abs,n_samples,model
T,0.05575379795669895,0.07124069696707053,0.9999746238154782,0.20045657377135484,105,mlp_tuned
RH,0.45646867001851704,0.5749969002348442,0.9991734464118008,1.7026525765589824,105,mlp_tuned
