model,target,mae_mean,mae_std,mae_max,rmse_mean,rmse_std,n_folds
gradient_boosting,RH,5.993932800995571,3.1403802530051044,13.293241491689738,6.2823304110597675,3.1012635057373226,35
gradient_boosting,T,2.5636099798426976e-06,1.622031498166991e-06,4.272683312933623e-06,2.563609979842698e-06,1.6220314981669913e-06,35
lasso,RH,1.6443872941755562,1.2735421460550056,6.508725631510961,1.7935221098024658,1.2245014777789396,35
lasso,T,0.139189628843995,0.09882237263210206,0.44595187233314026,0.15504441255507076,0.09703801765858708,35
random_forest,RH,8.878381746031746,2.1903425053364787,12.595,8.999868026749985,2.0623022448115416,35
random_forest,T,1.8360928571428572,2.3622817636167706,9.7,1.8721158801740407,2.355486225757266,35
ridge,RH,1.6717501685119922,1.2774005823609333,6.5085594694129325,1.830272554248218,1.2284438302069602,35
ridge,T,0.13895919686347308,0.08951358319565894,0.44964184437919885,0.15729588997786173,0.08828066587390114,35
