target,mae_mean,mae_std,mae_max,rmse_mean,rmse_std,n_folds
RH,8.878381746031746,2.1903425053364787,12.595,8.999868026749985,2.0623022448115416,35
T,1.8360928571428576,2.3622817636167706,9.7,1.8721158801740407,2.3554862257572666,35
